Time,201Hg,202Hg
,R1-15 Blank-1    3/12/2004 8:21:53 PM    (Run: 1),
52041,128200.000,5901.000
52124,130900.000,7001.000
52207,132400.000,6951.000
52290,130000.000,5726.000
52373,132700.000,6201.000
52456,132700.000,6451.000
52539,130400.000,5876.000
52622,131800.000,5926.000
52705,131000.000,5701.000
52788,128200.000,5751.000
52871,130200.000,6351.000
52954,125600.000,6751.000
53037,133000.000,6626.000
53120,132600.000,6826.000
53203,127300.000,5351.000
53286,135800.000,5851.000
53369,130000.000,6076.000
53452,130000.000,5676.000
53535,127900.000,5576.000
53618,132100.000,6476.000
53701,130000.000,6851.000
53784,129900.000,6901.000
53867,137100.000,5976.000
53950,127800.000,5501.000
54033,111800.000,5551.000
54116,117000.000,5576.000
54199,116100.000,5451.000
54282,118200.000,5526.000
54365,113900.000,6651.000
54448,124700.000,6076.000
54531,115100.000,5151.000
54614,119300.000,5426.000
54697,118900.000,5576.000
54780,121800.000,5776.000
54863,120700.000,5801.000
54946,127500.000,6876.000
55029,121900.000,5801.000
55112,124800.000,5651.000
55195,122400.000,6626.000
55278,121500.000,6176.000
55361,122100.000,5476.000
55444,122400.000,6476.000
55527,126100.000,6176.000
55610,123900.000,6051.000
55693,126500.000,6426.000
55776,121300.000,5776.000
55859,123400.000,5901.000
55942,122800.000,5426.000
56025,123800.000,5801.000
56108,122100.000,5926.000
56191,124000.000,6051.000
56274,128300.000,6876.000
56357,125900.000,5201.000
56440,127600.000,6176.000
56523,126100.000,5676.000
56606,123400.000,6026.000
56689,131200.000,6526.000
56772,124400.000,6176.000
56855,123500.000,6101.000
56938,130900.000,5351.000
57021,127900.000,6001.000
57104,126000.000,6301.000
57187,130800.000,6126.000
57270,130400.000,5601.000
57353,126900.000,6876.000
57436,132200.000,6001.000
57519,129200.000,6076.000
57602,124100.000,5676.000
57685,131500.000,5851.000
57768,127200.000,6001.000
57851,131400.000,6376.000
57934,130100.000,6701.000
58017,135400.000,5901.000
58100,130700.000,6426.000
58183,127900.000,5726.000
58266,123900.000,5276.000
58349,130400.000,5751.000
58432,128300.000,6126.000
58515,130700.000,5226.000
58598,125600.000,5776.000
58681,129700.000,5651.000
58764,125400.000,5901.000
58847,129600.000,6301.000
58930,127600.000,5626.000
59013,130100.000,5876.000
59096,120700.000,6351.000
59179,130400.000,7076.000
59262,123400.000,6126.000
59345,126700.000,6051.000
59428,131000.000,5826.000
59511,125900.000,5876.000
59594,126000.000,5901.000
59677,128500.000,6251.000
,,
,R1-16 Blank-2    3/12/2004 8:24:56 PM    (Run: 1),
0,2575.000,3200.000
83,2725.000,3425.000
166,2825.000,3650.000
249,2600.000,3175.000
332,2850.000,3300.000
415,3225.000,3550.000
498,2800.000,3300.000
581,2675.000,3350.000
664,2800.000,2975.000
747,2575.000,3625.000
830,2625.000,3400.000
913,2450.000,3175.000
996,2100.000,3175.000
1079,2800.000,3375.000
1162,2775.000,3250.000
1245,2525.000,3100.000
1328,2875.000,3475.000
1411,2675.000,3225.000
1494,2925.000,3125.000
1577,2650.000,3400.000
1660,2225.000,3275.000
1743,2800.000,3125.000
1826,2825.000,2975.000
1909,2975.000,3325.000
1992,2700.000,3950.000
2075,2625.000,2875.000
2158,3100.000,3600.000
2241,2775.000,3375.000
2324,2325.000,3000.000
2407,2650.000,3325.000
2490,3050.000,3325.000
2573,2525.000,3175.000
2656,2775.000,3700.000
2739,3000.000,3350.000
2822,3175.000,3375.000
2905,2275.000,3450.000
2988,2550.000,2950.000
3071,2200.000,3275.000
3154,2975.000,3375.000
3237,3175.000,3375.000
3320,3075.000,2900.000
3403,2825.000,3325.000
3486,3050.000,4050.000
3569,2725.000,2850.000
3652,2725.000,3875.000
3735,2200.000,2925.000
3818,2800.000,3650.000
3901,2550.000,3525.000
3984,2450.000,3850.000
4067,2525.000,3225.000
4150,2400.000,3150.000
4233,3050.000,3650.000
4316,2675.000,3400.000
4399,2725.000,3500.000
4482,2375.000,3500.000
4565,2350.000,3900.000
4648,2600.000,3500.000
4731,2425.000,3625.000
4814,3000.000,3425.000
4897,2775.000,3100.000
4980,3150.000,3775.000
5063,2675.000,3725.000
5146,2600.000,3375.000
5229,2325.000,3825.000
5312,2675.000,3300.000
5395,2375.000,3350.000
5478,3025.000,3525.000
5561,2925.000,3300.000
5644,2750.000,3475.000
5727,2750.000,2975.000
5810,2500.000,3175.000
5893,2600.000,2675.000
5976,2575.000,2950.000
6059,2700.000,3100.000
6142,2900.000,3325.000
6225,3275.000,3250.000
6308,2850.000,2950.000
6391,2600.000,3825.000
6474,2925.000,3125.000
6557,2525.000,3325.000
6640,3075.000,3200.000
6723,3300.000,3850.000
6806,2800.000,3250.000
6889,2725.000,3475.000
6972,2300.000,3200.000
7055,2675.000,3425.000
7138,2925.000,3125.000
7221,2650.000,2950.000
7304,2825.000,3350.000
7387,2325.000,3275.000
